,UMAP_1,UMAP_2,Cluster,Project Name,Link,Project Desc,Short Project Desc
0,5.7619233,2.1557508,0,"GreenPill - Ottawa, Canada",https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/11,"The project is focused on turning regenerative philosophy into real-world action, with a mission to empower individuals through crypto-inspired initiatives in Ottawa, Canada. Their achievements include hosting educational workshops, creating web3 guides, community meetups, and collaborations with other protocols for local impact. Key initiatives involve promoting decentralized collectives, supporting local communities, and environmental efforts like reforestation. They have made donations to global and local causes, developed educational resources, and facilitated events to onboard individuals into the web3 space. Future plans include sustaining growth, hosting workshops, increasing community activations, and supporting local food banks. The project aims to strengthen partnerships, onboard nonprofits into the web3 ecosystem, and expand collaborations with other web3 groups. Funding is sought to support chapter growth and contribute to the broader GreenPill Network ecosystem.","Empowering individuals through crypto-inspired initiatives with a focus on regenerative philosophy in Ottawa, Canada."
1,6.133833,2.337295,0,LunCo - collaborative systems engineering,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/3,"LunCo is a project in collaboration with EcoSynthesisX that aims to integrate models from the Space & Robotics industry into a Virtual World for concurrent engineering. It offers an educational mode for space engineering and web3 learning, as well as a social component for engineers to share designs through IP-NFTs and decentralized data exchange networks like IPFS. The project focuses on Data Sovereignty, enabling users to run and share projects without the need for a central server.
 
 The impact of LunCo includes lowering engineering costs, democratizing access to manufacturing software, fostering a global engineering community, and serving as a repository of high-quality data for engineering AI. The roadmap outlines future releases and features, with sample applications ranging from designing space stations to modeling robotic systems. The project draws inspiration from various space-related tools and games.
 
 LunCo's online presence includes a website, GitHub repository, Twitter account, Discord server, and more, indicating an engaged community and active development.","Integrating Space & Robotics models into a Virtual World for engineering and collaboration, promoting data sovereignty and democratizing engineering software."
2,7.4598346,1.2518795,-1,EcoSynthesisX,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/1,"EcoSynthesisX aims to address critical environmental challenges by integrating eco-friendly initiatives with technological solutions. The project focuses on areas like Koh Phangan, Thailand, where the ecosystem faces significant strain. By developing public goods and fostering awareness, EcoSynthesisX promotes sustainable living and economic benefits globally.
 
 Key initiatives include supporting founders and builders in the realm of regenerative finance and decentralized science, as well as boosting local nonprofits and NGOs through rounds on various chains such as Optimism, Base, zkSync, Polygon, and Arbitrum. Additionally, the project is creating Impact NFT Collections for NGOs and eco communities, launching the first collection with the Clean Phangan community. They also offer an Air Quality AI Assistant for the general public, with a beta web app currently in development.
 
 EcoSynthesisX's mission is to protect the environment, empower communities, and drive local microeconomics to make a positive impact on the world. Contributions to EcoSynthesisX help build a greener future and support innovative initiatives for environmental wealth and prosperity.","""Integrating eco-friendly solutions with technology to address environmental challenges, fostering sustainability and economic growth globally."""
3,8.399485,1.9000618,-1,TAS(Tech and Sun),https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/42,"Decentralized Exchange LTD is implementing a project in Nigeria to enhance the country's infrastructure by utilizing technology and solar power. The initiative involves creating charge port kiosks to enable the community to keep their electric devices powered up. This project aims to provide convenience for residents while also generating job opportunities for operators. The company has collaborated with solar manufacturers and metering companies to develop prototypes, with plans to have at least 5 functioning ports by the end of Q4. The project's impact includes improved access to electricity, job creation, and a step towards sustainable energy solutions in Nigeria. For more details, refer to the provided link.",Enhancing Nigerian infrastructure with solar-powered charge port kiosks for convenient access to electricity and job creation.
4,5.1271315,2.1450324,-1,SpiritDAO Whitepaper:,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/50,"The project proposal by SpiritDAO aims to educate and bridge the gap between traditional philanthropy and web3 infrastructure through an educational campaign and a whitepaper titled ""New Frontiers: The intersection of AI, Blockchain, and Social Impact."" The project intends to provide a common language for understanding blockchain technology and its potential impact on philanthropic efforts. The team behind this initiative, led by Ron Rivers and Eleazar Adjehoun, has a strong background in the philanthropic and nonprofit sectors.
 
 The impact of this project could potentially unlock billions of dollars in underutilized capital within the philanthropic sector by demonstrating how blockchain technology can enhance and scale social impact initiatives. By engaging with over 200 foundations through webinars, 1:1 conversations, and conference talks, the project aims to inspire traditional funders to support experimental web3 grant-making models and public goods. This effort could lead to new collaborations and transformative approaches to addressing social issues through technology.","""Bridge traditional philanthropy with web3 through education and whitepaper to unlock capital and scale social impact initiatives."""
5,5.7505946,1.1509819,1,Pods,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/17,"Pods is a platform that enables podcast hosts to publish episodes on the blockchain for monetization. By doing so, podcasts can create a social graph of their top fans in a public and composable manner. The project collaborated with Greenpill to publish Season 3 (Impact SZN) and Season 4. The onchain episodes have generated approximately 0.88 ETH ($3.3K) for the Greenpill Podcast through organic mints, offering a new revenue stream. This initiative has been beneficial for both Pods and Greenpill, showcasing the potential of blockchain technology in revolutionizing podcasting and content monetization. The collaboration has not only provided financial gains for Greenpill but has also expanded the reach and engagement of their podcast through the innovative approach offered by Pods.","Pods enables podcast monetization via blockchain, collaborating with Greenpill to create revenue and engagement opportunities."
6,7.6090007,0.41869217,-1,GreenPill India Chapter,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/22,"GreenPill India, a chapter of the GreenPill Network, aims to bring regenerative digital infrastructure and grassroots efforts together in India to address global challenges locally. The chapter has organized various workshops and events focused on topics like the role of crypto in public goods, quadratic voting, DAOs, and sustainable farming. These initiatives have aimed to educate and engage the community on regenerative concepts.
 
 The impact of these activities includes fostering knowledge and understanding of regenerative practices, promoting participative governance through DAOs, and exploring sustainable farming practices. By creating curated in-person experiences, GreenPill India seeks to drive local outcomes for global problems in coordination with the community.
 
 To further their goals, GreenPill India plans to use funds to expand subject matter expertise, host events, and incentivize community members. They aim to measure success by evaluating the quality of engagement, types of events organized, and the production of communication artifacts. Overall, the project aims to empower individuals to contribute towards regenerative solutions for public goods in India.",GreenPill India engages community through workshops and events to promote regenerative practices and decentralized governance in India.
7,8.378711,1.5575204,-1,M3tering Protocol,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/27,"The project aims to drive solar electrification and decentralization of energy supply through a token incentivize protocol. Its goal is to bring clean electricity to underserved communities in Latin America and sub-Saharan Africa by incentivizing individuals and institutions to become electricity providers through rooftop solar power purchase agreements (PPAs). Consumers pre-pay for clean electricity using DAI stablecoins, while providers receive rewards in protocol tokens. This system creates a positive feedback loop where increased participation by providers attracts more energy resources and users, thus driving capital into distributed energy resources (DERs) and promoting cleaner energy access. Ultimately, the project has the potential to significantly impact the energy landscape in these regions by facilitating the growth of electrification services and increasing access to sustainable energy solutions.",Drive solar electrification in Latin America and Africa via token incentives for decentralized energy supply.
8,5.3130064,0.9112907,-1,Deresy,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/28,"Deresy is a decentralized review system designed to enable third-party evaluation of Hypercerts through allowlisted wallets. The project, developed by the Spark team, collaborates with organizations like GreenPill to test its effectiveness in reviewing Hypercert impact claims. In a recent experiment with GreenPill, two reviewers, Lana and Izzy, used Deresy to evaluate 12 Hypercerts from the GG19 grants round. This partnership aims to enhance transparency and accountability in the review process of Hypercerts, ensuring accurate assessments of their impact. By providing a platform for structured evaluations and data-driven insights, Deresy fosters trust and credibility in the Hypercert ecosystem. The project's success in facilitating efficient reviews demonstrates its potential to streamline assessment processes and promote integrity in the evaluation of projects. Continued development and future pilots are planned to further enhance Deresy's functionality and reach.","""Deresy: Decentralized review system for Hypercerts, fostering transparency and credibility through structured evaluations."""
9,7.2146926,1.0869573,-1,Atlantis,https://explorer.gitcoin.co/#/round/10/0xe9459565709c5e856ffbc3cc8715824945d92de7/30,"Atlantis, a peer-to-peer impact network, is focused on regenerating the planet through various initiatives within the GreenPill Network. Their primary focus includes building tools for impact tracking, measurement, and incentivization within the Web3 space. Through their contributions to the GP Network, Atlantis has organized events like the GreenPill Festival, hackathons, workshops, and meetups to promote the GreenPilling movement. They have also provided a dedicated space for GreenPill India activities and have engaged with educational institutions and policymakers to spread awareness about regenerative cryptoeconomics. Moving forward, Atlantis plans to continue hosting events, providing support to GP India, onboarding members to the GP network, and collaborating with other local GreenPill chapters. The impact created by Atlantis in driving the green pill movement is significant, and support from the community plays a crucial role in furthering their contributions.","Atlantis drives regenerative impact within the GreenPill Network by building tools, hosting events, and promoting awareness of cryptoeconomics."
